field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph
22.47.01.001.01,Алтай,пашня,,2023,Оз.пшеница мягкая,Пар; Яр.пшеница мягкая,,306.22,Скипетр,ЭС,Покупные,минимальная,3.8,221.05,206.3,4.05,5.25
22.47.01.001.02,Алтай,пашня,,2023,Пар,Пар; Яр.пшеница мягкая,,63.16,,,,минимальная,,221.05,206.3,4.05,5.25
22.47.01.002.00,Алтай,пашня,4,2023,Пар,Яр.пшеница мягкая,,485.79,,,,,,199.8,186,3.5,5.2
22.47.01.003.00,Алтай,пашня,4,2023,Оз.пшеница мягкая,Пар,,452.25,Скипетр,ЭС,Покупные,минимальная,3.8,186.5,174.8,5.9,5.4
22.47.01.004.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,269.64,Скипетр,ЭС,Покупные,минимальная,3.8,166.6,147.9,5.6,5.4
22.47.01.005.00,Алтай,пашня,,2023,Пар,Яр.пшеница мягкая; Пар,,176.76,,,,,,209.3,226.3,3.2,5.3
22.47.01.006.01,Алтай,пашня,2,2023,Пар,Яр.пшеница мягкая,,78.63,,,,,,194.7,195.9,4,5.15
22.47.01.006.02,Алтай,пашня,2,2023,Оз.пшеница мягкая,Пар,,63.33,Скипетр,РС-1,Покупные,минимальная,3.8,194.7,195.9,4,5.15
22.47.01.007.01,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,134.42,,,,,,184.2,171.4,4.4,5.05
22.47.01.007.02,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,85.55,Скипетр,ЭС,Покупные,минимальная,3.8,184.2,171.4,4.4,5.05
22.47.01.008.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,32.32,Скипетр,ЭС,Покупные,минимальная,3.8,249,151.5,3.7,5.2
22.47.01.009.00,Алтай,пашня,4,2023,Пар,Яр.пшеница мягкая,,344.23,,,,,,172.7,165.7,5,5.4
22.47.01.010.00,Алтай,пашня,2,2023,Оз.пшеница мягкая,Пар,,56.74,Скипетр,РС-1,Покупные,минимальная,3.8,192.7,151.6,4.1,5.2
22.47.01.011.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,80.95,Скипетр,ЭС,Покупные,минимальная,3.8,250.6,144.4,4.8,5.2
22.47.01.012.00,Алтай,пашня,2,2023,Оз.пшеница мягкая,Пар,,23.95,Скипетр,ЭС,Покупные,минимальная,3.8,249.2,164.2,4.1,5.2
22.47.01.013.01,Алтай,пашня,2,2023,Оз.пшеница мягкая,Пар,,421.31,Скипетр,ЭС,Покупные,минимальная,3.8,209.3,173.55,4.9,5.25
22.47.01.013.02,Алтай,пашня,2,2023,Пар,Пар,,7.92,,,,,,209.3,173.55,4.9,5.25
22.47.01.014.00,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,91.49,,,,,,164.5,257.9,3.8,5.1
22.47.01.015.00,Алтай,пашня,4,2023,Пар,Пар; Яр.пшеница мягкая,,214.13,,,,минимальная,,154.6,261.5,3.7,5.3
22.47.01.016.00,Алтай,пашня,3,2023,Пар,Пар,,11.04,,,,,,157.5,264.5,3.1,6.3
22.47.01.017.00,Алтай,пашня,3,2023,Пар,Пар,,195.52,,,,,,133.8,238.2,3.8,5.7
22.47.01.018.00,Алтай,пашня,3,2023,Пар,Пар,,139.88,,,,,,113.5,209.1,3.1,5.2
22.47.01.019.00,Алтай,пашня,3,2023,Пар,Пар,,51.67,,,,,,150.3,213,3.4,5.7
22.47.01.020.00,Алтай,пашня,3,2023,Пар,Пар,,6.82,,,,,,133,244,2.8,5.6
22.47.01.021.00,Алтай,пашня,2,2023,"Залежь, лес","Залежь, лес",,32.08,,,,,,122.2,244.2,2.9,5.3
22.47.01.022.00,Алтай,пашня,2,2023,Пар,Пар,,2.64,,,,,,114,242,2.8,5.6
22.47.01.023.00,Алтай,пашня,3,2023,Пар,Пар,,83.58,,,,,,165.9,270.1,3.5,5.6
22.47.01.024.00,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,130.48,,,,минимальная,,151.3,218.1,3.8,4.9
22.47.01.025.00,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,75.44,,,,минимальная,,159.4,283,3.4,4.9
22.47.01.026.00,Алтай,пашня,4,2023,Пар,Яр.пшеница мягкая,,32.55,,,,минимальная,,156.5,282.8,3.4,5.1
22.47.01.027.00,Алтай,пашня,4,2023,Пар,Яр.пшеница мягкая,,108.79,,,,минимальная,,160.6,282.6,3.2,5.1
22.47.01.028.00,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,138.97,,,,минимальная,,150.5,248.9,3.7,5.1
22.47.01.029.01,Алтай,пашня,3,2023,Пар,Пар,,11.02,,,,,,155,210,4.5,5.2
22.47.01.029.02,Алтай,пашня,3,2023,"Залежь, лес","Залежь, лес",,12.32,,,,,,155,210,4.5,5.2
22.47.01.030.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,152.41,Ликамеро,ЭС,Покупные,минимальная,3.3,236.4,112.9,3.3,6.1
22.47.01.031.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,86.21,Ликамеро,ЭС,Покупные,минимальная,3.3,215.1,150.6,3.9,6.1
22.47.01.032.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,196.25,Ликамеро,ЭС,Покупные,минимальная,3.3,219.8,144,3.1,6.1
22.47.01.033.00,Алтай,пашня,3,2023,Пар,Оз.пшеница мягкая,,237.17,,,,,,240,122.8,3.3,5.7
22.47.01.034.00,Алтай,пашня,3,2023,"Залежь, лес","Залежь, лес",,147.71,,,,,,,,,
22.47.01.035.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,116.8,,,,,3.3,263.4,229.8,3.9,5.8
22.47.01.036.00,Алтай,пашня,3,2023,Залежь,Залежь,,4.83,,,,,,183,291,3.5,4.8
22.47.01.037.00,Алтай,пашня,3,2023,Пар,Пар,,44.46,,,,,,160,254.6,3.8,5.6
22.47.01.038.01,Алтай,пашня,3,2023,Пар,Пар,,62.86,,,,,,150.15,259.3,3.35,5.65
22.47.01.038.02,Алтай,пашня,3,2023,"Залежь, кустарник","Залежь, кустарник",,76.3,,,,,,150.15,259.3,3.35,5.65
22.47.03.001.00,Алтай,пашня,2,2023,"Залежь, кустарник","Залежь, кустарник",,96.97,,,,,,155.4,156.9,2.9,5.2
22.47.03.002.00,Алтай,пашня,2,2023,"Залежь, кустарник","Залежь, кустарник",,95.07,,,,,,167.1,181.6,3.6,5.2
22.47.03.003.00,Алтай,пашня,2,2023,"Залежь, кустарник","Залежь, кустарник",,40.86,,,,,,,,,
22.47.03.004.00,Алтай,пашня,2,2023,"Залежь, лес","Залежь, кустарник",,314.27,,,,,,,,,
22.47.03.005.00,Алтай,пашня,2,2023,"Залежь, лес","Залежь, кустарник",,239.66,,,,,,,,,
22.47.05.001.00,Алтай,пашня,3,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1,199.71,,,Покупные,минимальная,0,152.5,351.7,3.2,5.1
22.47.05.002.00,Алтай,пашня,3,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1,75.5,,,Покупные,минимальная,0,148.6,331.9,2.8,5.1
22.47.05.003.00,Алтай,пашня,3,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1,192.85,,,Покупные,минимальная,0,152.9,277,3,5.2
22.47.05.004.00,Алтай,пашня,3,2023,Кукуруза силос,Пар,,316.08,П 7043,F1,Покупные,классическая с плугом,8.5,146.9,294.3,3.3,5
22.47.05.005.00,Алтай,пашня,3,2023,Кукуруза силос,Оз.пшеница мягкая,,365.03,,,Покупные,классическая с плугом,8.5,161.4,255.2,3.3,5
22.47.05.006.01,Алтай,пашня,3,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,5,196.29,Дакота,,Покупные,минимальная,3.8,140.9,261.8,3.5,5.3
22.47.05.006.02,Алтай,пашня,3,2023,"Залежь, кустарник","Залежь, кустарник",,31.71,,,,,,140.9,261.8,3.5,5.3
22.47.05.007.01,Алтай,пашня,3,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,5,216.53,,,,классическая с плугом,3.8,168.15,227.55,3.45,5.05
22.47.05.007.02,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,177.16,,,,,3,168.15,227.55,3.45,5.05
22.47.10.001.00,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,272.29,,,,,3,158.2,273.3,3.7,5.1
22.47.10.002.00,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,152.97,,РС-1,Покупные,минимальная,8.5,160.5,252.1,4.1,5.4
22.47.10.003.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,585.66,Скипетр,ЭС,Покупные,минимальная,3.8,145.4,266.3,3.4,5.5
22.47.10.004.00,Алтай,пашня,2,2023,Оз.пшеница мягкая,Пар,,271.44,Скипетр,ЭС,Покупные,минимальная,3.8,156.7,250.3,3.4,5.7
22.47.10.005.01,Алтай,пашня,3,2023,Строительство,Строительство,,84.84,,,,,,177.5,295.8,3.2,5.1
22.47.10.005.02,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,218.27,,,,,3,177.5,295.8,3.2,5.1
22.47.10.005.03,Алтай,пашня,3,2023,Пар,Кострец пр.лет корм,,50.75,,,,,,177.5,295.8,3.2,5.1
22.47.10.006.01,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,104.1,,,Покупные,минимальная,8.5,148.05,221.45,3.7,5.5
22.47.10.006.02,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,100,,,Покупные,минимальная,8.5,148.05,221.45,3.7,5.5
22.47.10.007.00,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,272.12,,,,,3,141.8,213.4,3.6,5.5
22.47.10.008.00,Алтай,пашня,3,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,4,262.81,Дакота,,Покупные,минимальная,3.8,,,,
22.47.10.009.00,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,159.75,,,Покупные,минимальная,8.5,151.2,234.2,3.2,5.4
22.47.10.010.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,58.52,Скипетр,ЭС,Покупные,минимальная,3.8,174.8,331.8,2.5,5.4
22.47.10.011.01,Алтай,пашня,3,2023,Кукуруза силос,Яр.пшеница мягкая,,140,Росс 140 СВ+,РС-1,Покупные,минимальная,8.5,147.85,242.8,3.8,5.85
22.47.10.011.02,Алтай,пашня,3,2023,Кукуруза силос,Яр.пшеница мягкая,,93.55,,РС-1,Покупные,минимальная,8.5,147.85,242.8,3.8,5.85
22.47.10.012.01,Алтай,пашня,3,2023,Кукуруза силос,Яр.пшеница мягкая,,77.55,,РС-1,Покупные,минимальная,8.5,134.2,233.57,3.33,5.6
