field,yield_fact
02.09.02.002.01,1.56975
02.09.02.015.00,1.22675
02.09.02.019.00,2.149
02.09.03.032.00,0.9560833333333333
02.09.06.004.04,2.212
02.09.06.011.01,2.8793333333333333
02.09.06.011.02,1.9086666666666667
02.09.06.012.01,0.7513333333333333
02.09.06.012.02,1.4863333333333333
02.09.06.014.00,0.007
02.09.06.016.01,2.0317499999999997
02.09.06.017.00,0.014
02.09.06.019.00,1.687
02.09.06.020.00,0.007
02.09.06.021.00,0.742
02.09.06.022.00,2.31525
02.09.06.023.00,1.116
02.09.06.025.00,1.2646666666666666
02.09.06.026.00,1.5819999999999999
02.09.06.027.00,1.144111111111111
02.09.06.029.00,2.31
02.09.06.030.00,1.2366666666666666
02.09.06.031.00,0.007
02.09.06.032.00,1.279
02.09.06.032.02,0.018666666666666668
02.09.06.048.00,1.7206
02.09.06.049.00,0.7175
02.09.06.054.00,2.8840000000000003
02.09.06.061.00,0.007
02.09.06.065.00,6.8852
02.09.06.066.00,5.560333333333333
02.09.06.070.00,3.6295
02.09.06.071.01,0.0098
02.09.06.071.02,0.0245
02.09.06.074.00,1.5921111111111113
02.09.06.075.00,2.013666666666667
02.09.06.076.02,0.01225
02.09.06.077.00,1.62575
02.09.06.079.01,0.022750000000000003
02.09.06.081.00,1.757
02.09.06.084.00,2.695
02.09.08.001.00,0.994
02.09.08.002.00,1.9249999999999998
02.09.08.003.00,1.6613333333333333
02.09.08.003.01,0.133
02.09.08.004.00,2.184
02.09.08.005.00,0.6475
02.09.08.006.00,1.4209999999999998
02.09.08.007.00,1.7653125
02.09.08.009.00,4.005
02.09.08.011.00,2.3135
02.09.08.013.00,0.798
02.09.08.014.00,1.82
02.09.08.016.00,1.659
02.09.08.017.00,1.4765333333333333
02.09.08.020.00,6.419
02.09.08.021.00,0.7315
02.09.08.022.00,0.259
02.09.08.028.01,0.8987999999999999
02.09.08.028.02,2.0195
02.09.08.033.00,3.759
02.09.08.035.00,2.436
02.09.08.036.00,0.637
02.09.08.037.00,3.108
02.09.08.038.00,3.332875
02.09.08.039.00,2.68275
02.09.08.040.02,3.01
02.09.08.041.00,1.5082666666666666
02.09.08.043.01,4.55
02.09.08.043.02,0.28
02.09.08.044.00,3.602375
02.09.08.045.00,2.1
02.09.08.046.00,1.085
02.09.08.047.00,3.353
02.09.08.048.00,1.3405
02.09.08.049.00,1.4455
02.09.08.050.00,3.756666666666667
02.09.08.051.00,0.5576666666666666
02.09.08.052.01,1.7564166666666667
02.09.08.052.02,1.1140769230769232
02.09.08.053.00,3.9928823529411765
02.09.08.054.00,2.0542307692307693
02.09.08.054.01,0.847
02.09.08.054.02,0.434
02.09.08.055.00,2.8875
02.09.08.056.00,0.476
02.09.08.057.01,0.35233333333333333
02.09.08.059.00,2.6740000000000004
02.09.09.008.00,0.8337777777777777
02.09.09.009.00,0.7583333333333333
02.09.09.010.00,1.821
02.09.09.011.00,2.2921111111111108
02.09.09.013.00,1.9347999999999999
02.09.09.014.00,1.5995
02.09.09.018.00,1.4960909090909091
02.09.09.024.00,1.9740000000000002
