field,yield_plan
02.09.02.002.01,3.089019607843137
02.09.02.003.00,2.2
02.09.02.010.00,1.1
02.09.02.013.00,2.2
02.09.02.015.00,2.4375
02.09.02.019.00,2.6875
02.09.03.032.00,2.530952380952381
02.09.06.004.01,1.6666666666666667
02.09.06.004.02,4.0
02.09.06.004.04,4.2
02.09.06.011.01,4.103296703296704
02.09.06.011.02,2.7291228070175437
02.09.06.011.03,
02.09.06.012.01,1.564705882352941
02.09.06.012.02,1.9536231884057973
02.09.06.014.00,4.0
02.09.06.016.00,
02.09.06.016.01,4.106060606060606
02.09.06.016.02,1.2
02.09.06.017.00,4.0
02.09.06.019.00,4.102564102564102
02.09.06.020.00,4.0
02.09.06.021.00,1.2
02.09.06.022.00,2.1855072463768117
02.09.06.023.00,2.6444642857142857
02.09.06.025.00,1.9
02.09.06.026.00,2.057142857142857
02.09.06.027.00,3.0573333333333332
02.09.06.028.00,2.68125
02.09.06.029.00,2.027586206896552
02.09.06.030.00,1.9017543859649124
02.09.06.031.00,4.0
02.09.06.032.00,1.9799999999999998
02.09.06.032.01,
02.09.06.032.02,4.0
02.09.06.033.00,
02.09.06.048.00,4.025333333333333
02.09.06.049.00,4.171428571428572
02.09.06.050.00,
02.09.06.054.00,4.2
02.09.06.057.00,3.0
02.09.06.061.00,4.0
02.09.06.061.01,2.5
02.09.06.061.02,2.85
02.09.06.062.00,
02.09.06.063.00,2.36
02.09.06.064.00,1.994413407821229
02.09.06.065.00,5.964571428571429
02.09.06.066.00,5.92453488372093
02.09.06.069.00,5.66875
02.09.06.070.00,5.963333333333334
02.09.06.071.00,
02.09.06.071.01,3.196474358974359
02.09.06.071.02,3.0
02.09.06.074.00,2.933913043478261
02.09.06.075.00,3.0483870967741935
02.09.06.076.01,
02.09.06.076.02,2.6785714285714284
02.09.06.077.00,3.868
02.09.06.079.00,4.0
02.09.06.079.01,3.8999999999999995
02.09.06.079.02,2.5
02.09.06.081.00,4.111111111111111
02.09.06.084.00,4.2
02.09.06.085.00,1.1
02.09.06.086.00,1.1
02.09.06.087.00,4.0
02.09.08.001.00,2.6596491228070174
02.09.08.002.00,22.348684210526315
02.09.08.003.00,3.5
02.09.08.003.01,2.0
02.09.08.003.02,33.3
02.09.08.004.00,3.0714285714285716
02.09.08.005.00,2.857142857142857
02.09.08.006.00,2.911764705882353
02.09.08.007.00,2.949640287769784
02.09.08.008.00,
02.09.08.009.00,4.043478260869565
02.09.08.010.00,
02.09.08.011.00,2.9272727272727272
02.09.08.012.00,
02.09.08.013.00,1.5919999999999999
02.09.08.014.00,2.93
02.09.08.015.00,
02.09.08.016.00,2.9
02.09.08.017.00,2.588235294117647
02.09.08.018.00,
02.09.08.019.00,
02.09.08.020.00,2.9473684210526314
02.09.08.021.00,1.6666666666666667
02.09.08.022.00,2.411764705882353
02.09.08.023.00,3.125
02.09.08.028.00,
02.09.08.028.01,2.7142857142857144
02.09.08.028.02,2.495833333333333
02.09.08.029.00,
02.09.08.030.00,
02.09.08.031.00,
02.09.08.032.00,
02.09.08.033.00,4.1230769230769235
02.09.08.034.00,
02.09.08.035.00,4.076923076923077
02.09.08.036.00,2.8017241379310347
02.09.08.037.00,4.0814814814814815
02.09.08.038.00,4.123809523809524
02.09.08.039.00,2.6971264367816095
02.09.08.040.02,2.6698529411764707
02.09.08.041.00,1.6285714285714286
02.09.08.042.00,
02.09.08.043.01,4.105263157894737
02.09.08.043.02,2.857142857142857
02.09.08.044.00,4.085714285714285
02.09.08.045.00,4.2
02.09.08.046.00,2.986842105263158
02.09.08.047.00,3.9904761904761905
02.09.08.048.00,2.909090909090909
02.09.08.049.00,2.891891891891892
02.09.08.050.00,4.092537313432835
02.09.08.051.00,2.549019607843137
02.09.08.052.00,
02.09.08.052.01,4.176170212765958
02.09.08.052.02,1.8267857142857142
02.09.08.053.00,3.210841121495327
02.09.08.054.00,3.5
02.09.08.054.01,2.0
02.09.08.054.02,2.0
02.09.08.055.00,4.111111111111111
02.09.08.056.00,3.044642857142857
02.09.08.057.01,1.8347368421052632
02.09.08.057.02,2.9962500000000003
02.09.08.058.00,
02.09.08.059.00,4.160975609756098
02.09.08.060.00,2.5
02.09.08.061.00,
02.09.08.062.00,
02.09.09.008.00,4.251142857142857
02.09.09.009.00,1.9637499999999999
02.09.09.010.00,2.9782608695652173
02.09.09.011.00,2.9397590361445785
02.09.09.012.00,
02.09.09.013.00,2.9339622641509435
02.09.09.014.00,3.0344827586206895
02.09.09.018.00,2.9831932773109244
02.09.09.019.00,2.005
02.09.09.021.00,
02.09.09.024.00,3.0467889908256884
02.09.09.025.00,1.9298245614035088
02.09.12.001.00,3.0
02.09.12.005.00,1.953846153846154
02.09.12.006.00,2.331147540983607
02.09.12.009.00,2.6994871794871793
02.09.12.017.00,1.5438938053097346
02.09.12.018.00,
02.09.12.019.00,
02.09.12.020.00,1.6162666666666667
02.09.12.021.00,
02.09.12.021.01,1.6550769230769231
02.09.12.022.00,
02.09.12.023.00,3.4
02.09.12.023.01,3.9
02.09.12.023.02,4.0
02.09.12.024.00,1.8546666666666667
02.09.12.025.00,
02.09.12.026.00,
02.09.12.027.00,
02.09.12.028.00,1.91
02.09.12.029.00,1.8989473684210525
02.12.07.042.00,2.4067567567567565
02.12.07.043.00,2.4138297872340426
02.12.07.044.00,2.482051282051282
02.12.11.001.00,1.325
02.12.11.003.00,1.4083333333333332
02.12.11.004.00,1.4727272727272727
02.12.11.005.00,1.4222222222222223
02.12.11.006.00,1.3935483870967742
02.23.03.002.00,6.114999999999999
02.23.03.003.00,
02.23.03.004.00,5.903917525773196
02.23.03.005.00,
02.23.03.006.01,
02.23.03.007.00,3.76734693877551
02.23.03.008.00,6.155344827586207
02.23.03.009.00,
02.23.03.011.00,
02.23.03.011.01,3.905263157894737
02.23.03.011.02,5.998
02.23.03.012.00,4.171014492753623
02.23.03.014.00,0.7904761904761906
02.23.03.015.00,0.8325581395348837
02.23.03.016.00,2.611111111111111
02.23.03.017.00,6.077659574468086
02.23.03.018.00,3.8114285714285714
02.23.03.019.00,6.194054054054055
02.23.03.020.00,
02.23.03.021.00,6.241176470588235
02.23.03.022.00,2.5235955056179775
02.23.03.023.00,4.0
02.23.03.023.01,3.9
02.23.03.023.02,2.2
02.23.03.024.00,5.53
02.23.03.024.01,0.7
02.23.03.024.02,6.7
02.23.03.025.00,6.035945945945946
02.23.03.026.00,3.1984210526315793
02.23.03.027.00,2.4612903225806457
02.23.03.029.00,
02.23.03.030.00,5.53
02.23.03.030.01,6.7
02.23.03.030.02,6.7
02.23.03.031.00,
02.23.03.033.00,
02.23.03.034.00,
02.23.03.035.00,2.6153846153846154
02.23.09.001.00,3.2333333333333334
02.23.09.002.00,3.1750000000000003
02.23.09.005.00,0.71
02.23.11.001.00,1.436842105263158
02.23.11.003.00,5.53
02.23.11.003.01,2.2
02.23.11.006.00,
02.23.11.007.00,
02.23.11.008.00,
02.23.11.009.00,4.096153846153846
