field,yield_fact
02.09.02.002.01,0.12294117647058825
02.09.02.003.00,0.0
02.09.02.010.00,0.0
02.09.02.013.00,0.0
02.09.02.015.00,0.3071875
02.09.02.019.00,0.0671875
02.09.03.032.00,12.390357142857143
02.09.06.004.01,219.7243333333333
02.09.06.004.02,0.0
02.09.06.004.04,0.09208333333333334
02.09.06.011.01,0.1898901098901099
02.09.06.011.02,0.20087719298245613
02.09.06.011.03,0.0
02.09.06.012.01,79.47147058823529
02.09.06.012.02,14.81159420289855
02.09.06.014.00,0.0001
02.09.06.016.00,0.0
02.09.06.016.01,0.12318181818181817
02.09.06.016.02,91.075
02.09.06.017.00,0.0008333333333333334
02.09.06.019.00,0.06487179487179487
02.09.06.020.00,0.00045454545454545455
02.09.06.021.00,0.074
02.09.06.022.00,52.190579710144924
02.09.06.023.00,0.13955357142857144
02.09.06.025.00,0.09475
02.09.06.026.00,0.18057142857142858
02.09.06.027.00,0.17200000000000001
02.09.06.028.00,308.94910714285714
02.09.06.029.00,66.5403448275862
02.09.06.030.00,0.13035087719298244
02.09.06.031.00,0.0004
02.09.06.032.00,0.2638235294117647
02.09.06.032.01,0.0
02.09.06.032.02,0.001875
02.09.06.033.00,0.0
02.09.06.048.00,0.2873333333333334
02.09.06.049.00,0.051071428571428566
02.09.06.050.00,0.0
02.09.06.054.00,0.1049090909090909
02.09.06.057.00,0.0
02.09.06.061.00,6.622516556291391e-05
02.09.06.061.01,353.45829268292687
02.09.06.061.02,815.7989285714286
02.09.06.062.00,0.0
02.09.06.063.00,0.0
02.09.06.064.00,0.0
02.09.06.065.00,0.9831428571428571
02.09.06.066.00,0.5818604651162791
02.09.06.069.00,0.0
02.09.06.070.00,0.2688888888888889
02.09.06.071.00,0.0
02.09.06.071.01,0.000641025641025641
02.09.06.071.02,0.002777777777777778
02.09.06.074.00,120.95817391304348
02.09.06.075.00,133.08419354838708
02.09.06.076.01,0.0
02.09.06.076.02,0.0007142857142857143
02.09.06.077.00,0.2886666666666667
02.09.06.079.00,0.0
02.09.06.079.01,0.0019230769230769232
02.09.06.079.02,0.0
02.09.06.081.00,0.14666666666666667
02.09.06.084.00,0.23649122807017545
02.09.06.085.00,0.0
02.09.06.086.00,0.0
02.09.06.087.00,0.0
02.09.08.001.00,52.202456140350876
02.09.08.002.00,0.0675438596491228
02.09.08.003.00,390.5992405063291
02.09.08.003.01,0.006500000000000001
02.09.08.003.02,0.0
02.09.08.004.00,0.03892857142857143
02.09.08.005.00,141.21163265306123
02.09.08.006.00,0.11137254901960786
02.09.08.007.00,0.20323741007194246
02.09.08.008.00,0.0
02.09.08.009.00,0.6093478260869566
